Rating,Reviews
1, My baby couldn't use these at all. 
1, The nipples on bottles constantly collapse and make it hard for my baby to get milk. Also the nipples are pretty hard and not like a real nipple. 
1, Disappointed with this set and my baby hates these bottles! Whenever he sucks from them the nipple totally caves in & he can hardly get the milk out!! Don't waste your money 
1, Bought this for my newborn because description says extra slow flow (size 0) but it came with size 1 nipples. Didnt realized that until i sanitized the bottle and fed my baby that gulped and chocked when drinking. Please change your head description. 
1, I will never understand these. It is impossible to get the last drops out of the bottle even when turned entirely upside down. Used them maybe three times before I got mad enough about wasted breast milk and went back to the bottles I started with. 
1, Terrible. The flow is way to slow. Even when squeezing it with my fingers it doesn’t even drip. I do not recommend. 
1, This is not extra slow! It squirts out as soon as you turn it upside down. Alao not liking the shape as it doesn’t let all the milk go toward the tip! 
1, These bottles sadly did not work at all and actually seemed to worsen the digestive issues/crying/gas. This was after several attempts at using them and sterilizing them twice to ensure they were clean. I had to discard these bottles. They were a waste of money for me. I’m glad others have had some success. 
1, My son would not take these bottles. We tried around 1 month old. He choked on them despite that they were the slowest flow and had difficulty latching. The last ounce wouldn't come out waste of breast milk. The nipple seems stiff and oversized. We had better luck with the Nuk Natural bottles. 
1, Bought these for my newborn baby..the nipped are horrible 
1, I had three issues with these:1. These had a free promo label on them. So buyer received them for free and I paid for them2. The nipple was label 1 when I ordered extra slow3. Just didn’t work for my son 
1, I paid almost $7 for this bottle and when i got it it was labeled as a free sample. Kind of irritating. 
1, I have no idea why these are so well rated. The bottles are garbage.They come with super slown flow nipples that will likely starve your baby. Our newborn spent 20 minutes working on one of these and got less than a quarter of an ounce out. I had to take a tooth pick and use the tip to stretch the opening and even still it takes about 30 minutes for our baby to take an ounce of milk. On the upside shes gotten way better at nursing as a result because she has to work so hard to get anything out or a bottle.The second reason these bottles are terrible is their shape doesn't allow all the milk to come out. You can take the lid off and fully invert the bottle and you'll still have 5-10L stuck in the lip of the bottle.Total waste of money. 
1, I selected Extra Flow slow “ as it says in the title ” as my newborn have issue even with slow flow but instead I got 1 totally time wasted. 
1, Tried boiling it for less than 5min to sterilize it and it melted 
1, was looking for bottles that my son could tolerate without choking but it leaks so bad I'm not about to waste expressed breastmilk with a junky design that soaks my baby. 
1, I wouldn’t suggest ordering this item. This was ordered as a gift and it arrived with the box completely demolished. 
1, These bottles are garbage. They clog way too easily. One of the bottles even clogged for a first time use. Terrible for my preemie baby. Sticking with Dr. Brown's because it just works 
1, Total waste of money ..didn’t work for us! 
1, It's really bad for one of them because my baby get nothing from the nipple. Even if you look at the nipple carefully it's hard to find the really hole for the milk come out. I will never recommend this product for feeding. Don't buy it！！！ 
1," There is an obvious design flaw with this bottle which I think every parent should know. I bought this for my newborn and immediately noticed a problem on the first use. The bottle resembles the shape of a human breast. But unlike other bottles this bottle has a bigger than usual ""cup size"". Human breast is soft but this is not. During feeding the hard bottle pushes against the baby's nose and hurts the baby. There is actually another design flaw with this bottle is that there is always a decent amount of milk left in the bottle after feeding. You can see from the product pictures that there is a deep groove in the middle of the bottle. And it is that groove that traps a large amount of milk. And for a newborn that amount Is critical for the newborn's growth. "
1, Nipple hole was too tiny would not allow any milk to go through. I could've purchased new nipples but I just purchased different bottles instead. 
1, These are the worst. We got them for our second baby and it takes almost 30 minutes for him to get just 1oz out of the bottle. No issue with breastfeeding or other bottles but these are terrible. Wish I could return them. 
1, I don't get why these bottles getting good reviews. The nipple hole is too small allowing a very very slow milk flow. 
1, I was excited to use these on my newborn after reading the reviews. Unfortunately I will no longer use these bottles. They are constantly getting clogged during the feed which leads my baby to get frustrated.It was a waste of money. 
1, I bought these bottles because I didn't like my old brand. However they leak and very quickly. I lost all the milk I pumped in the matter of minutes. I'm so sad. I verified that I closed the cap all the way. It still leaks and extremely rapidly. 
1, This was the most disgusting thing to receive used bottles. There was no where on there saying they were used! Gross gross gross 
1, for a bottle claiming to have the most breast like nipple it isn't all that different from a regular bottle. I wonder if these people have even seen a nipple not any different than a regular bottle. 
1, I purchased this extra set of bottles because my 3 week old does great with these ... but the nipples on these all collapse when she’s drinking ! The other sets of these I have do not do that ! Defective ! 
1, Nipple are getting twisted while feeding baby and lot of bubbles during feeding 
1, These bottles are unusable to me because of the misleading description at the top. The headline reads slow flow but if scroll down for the detailed description it says extra slow flow. So now I can’t even use them unless I buy new slow flow nipples. 
1, Inaccurate description 
1, Not a fan of these bottles. I would not waste my money on these so many other options similar prices. 
1, Nipples stop working after 4 weeks. Nipples collapse and some even stopped working all together and nothing comes out which results in upset baby and frustrated parent in the middle of the night. Would not recommend and will not be repurchasing. 
1, I don’t understand why the nipples cave in/collapse when being used. I want to love these but I can’t bc my baby can barely use them. 
1, I love this bottle but I was sent the wrong flow. I was sent extra slow flow and the description says slow flow. There is a huge difference and now I have to go through the trouble of returning this item and re-ordering the right one which I’m not even sure how to do when the description doesn’t match the merchandise!!! 
1, I’m now in a pinch. The description says it comes with slow flow nipples size 1. The bottles I received all had the EXTRA slow flow nipples (size 0). UGH!!!!! Going to daycare for the first time and now I have to scramble to get the right bottles. The size 0 is just to slow for my 5 month old he sucks then so hard they colapse and air can’t get in fast enough.Really wish I had read all these reviews. 
1, I ordered this for my newborn. The description says slow flow but extra slow flow arrived. I thought this may be a mistake so I ordered it again planning to return the initial one. It came as extra slow flow again! The extra slow flow is painfully slow and I don't use the bottles because of it. Now I ordered the slow flow nipples separately. 
1, Bought these after my como tomo bottles started giving out too much milk and choking baby. Thought it would solve the problem. The nipples were slow flow all right- too slow for baby. He ends up sleeping through his feeding and wakes up shortly thereafter crying for milk. Not buying these again. The silicone is also way too hard. Baby finally took to dr brown bottles and started sleeping peacefully. 
1, The nips collapse like crazy no matter what we do. And the plastic is so thin I feel like it was such a waste. My baby gets so frustrated with feeding time if we use tommee tippee. 
