Rating,Reviews
1, Baby still doesn't take the bottle. 
1, Absolutely terrible the plastic nipple is so flimsy my 3 day old sucks so hard the opening is vacuum sealed shut and no milk comes out. She loses so much energy ducking for no reward she's so exhausted by the time I move the contents to a superior branded bottle.Seriously do not buy this brand product you and your little one will be left in tears of frustration! 
1, Bottles came used. Disgusting. 
1, This bottle is trash people saying nice things about this bottle I wonder why  they seem nice at first but after sterilizing they bottles they change shape and you can’t close them anymore 
1, I got these as a baby shower gift. I love the brand Nuk I used it with my two other little ones.But this time my baby would still act hungry and angry when I thought I was giving her two oz. I thought maybe little one just ate more. I use a formula pitcher to mix the formula then I just pour it into the bottle. I then realized that 2oz in this bottle was only 1oz in a different bottle. So I’ve been under feeding my baby and that’s why baby would act so angry and hungry after feedings. I switched bottles and now she sleeps better and looks satisfied. I hope this all makes sense.I like Nuk I don’t know if I just got bad bottles but they failed me this time around. 
1, Really slow flow took child forever to finish bottle 
1, I bought these for my newborn - he was using the ready use enfamil bottles the hospital provides for the first few days and was eating 2-4oz at a time. Then we ran out and started using the NUK bottles and almost immediately my baby got severe gas - spitting up gas diahhrea constantly fussy not hurting well and finally by day 3 he wouldn't even take the bottle and spit the nipple out immediately. I was a total wreck and sobbing bc he wouldn't eat. So we put two and two together and bought more of the ready use bottles he likes - turns out the NUK bottles nipples were WAY too big and allowed entirely too much airflow. We ended up ordering some Dr. Brown bottles with amazing reviews and similar size nipples to the ready use bottles. Every baby is different so this may work wonders for some but it was a nightmare for us and our infant. I promptly threw them in the garbage. 
1, The bottle is easy to hold for me however the font on the bottle is white against the white breastmilk while makes it hard to read. Most importantly the nipple that comes with this bottle is supposed to prevent babies from sucking up more air but it actually seems like my baby has been sucking MORE air which is causing her to have tummy pains due to so much air intake/gas. I have my newborn on the slow flow and she is constantly taking in so much air. Changing bottles now..... 
1, The scale on the bottle is all wrong. I have been giving my baby the wrong proportion of the formula. DO NOT BUY 
1, Poor plastic second bottle that broke because of the heat and second bottle with melted plastic. Will never buy again 
1, Mala invercion el orificio de aire no funciona al contrario tira la leche no recomendado para bebes menores de 1 año el chupon es muy pequeño y la succion del bebe no es correcta por la forma 
1, The bottles came back used and dirty. I will be returning them 
1, These bottles suck. They leak out of the air vent all over my daughters face and it goes up her nose almost every single time. Should have stuck to my usual Avent bottles. 
1, I bought it for My two month old No matter how much he sucked on the nipple he couldn’t get any milk.Avent from philips is better!!! 
1, Hate It. Doesn’t work. Milk Will Spill From All 3 Bottles. 
1, I wanted to love these bottles. Especially as a first time mom I did a lot of researchers before I finally purchased these bottles. Parents be aware that these bottles are TERRIBLE! AIR VALVE LEAKS INTO BABY NOSE OR NECK! DANGEROUS WHEN YOU ARE FEEDING BABY AT NIGHT YOU MAY NOT NOTICE THE BABY CLOTHES IS WET 
1, Very cute bottle and easy to clean. The nipples are the problem! They collapse every time the baby drinks which makes him frustrated. I wish I listened to other comments.. 
1, My daughter can’t drink out of these nipples... literally. They are so soft that keep collapsing when she tries to drink her milk and makes her so frustrated and fussy. A total bummer because these bottles have great reviews but unfortunately I’m returning them. 
1, I ordered to 2 packages of bottles and each package only had two bottles and which should of came with 3. 
1, Box completely destroyed 
1, Have to stop every 2 minutes to pull the nipple out of the bottle because they collapse inward. Horrible bottle I have five different bottles these are the only ones that don’t work. 
1, These are horrible! My child will suck on them and takes 25 minutes just to finish an ounce. I typically use honest company and he finishes 5 oz within 10 minutes. Wanted to try something new. 
1, The air vent on the nipple leaks horribly! I will not be purchasing any more ! 
1, Deformed after Sterelize on microwave.The other bottle completely melted and I threw away before take picture for this review. 
1, These are very nice looking bottles that we purchased for our newborn however; the nipple on the bottle literally overflows when she attempts to drink from it. Our baby would literally have milk spilling out after 5 seconds attempting to drink from them. We have the 4oz-11oz bottles and each one has the same issue (thinking maybe just one was defective). These would NOT be good for a newborn with colic or needs controlled output. 
1, It says the gift set includes 3 pacifiers one is 0-6 months two is 6-18 months. But I received 3 pacifiers that are 0-6 months. My son is 8 months old he can’t use any of the pacifiers. It doesn’t fit the description. 
1, The box was broken when I opened the package. I'm glad I didn't buy glass bottles or they would all be broken. This so unacceptable. The product its self it probably good. But I will review that when my baby is born. 
1, I wanted to love these. In fact I did love these until I realized how badly they melt. They did not last a week before one had to be thrown away. When steam sterilized one melted into an oval shape and the top would no longer fit. I didn't take pics of that one just tossed it and found a way to clean them with less heat (which was time consuming with a newborn). Then today the bottom melted while warming milk in the bottle warmer. The nipples on these are very innovative and my baby loved them. Unfortunately the bottles are trash because the actual bottle part is made so incredibly cheap! Wish I could get a 
1, The bottles were ok but my son doesn't not like them... hes unable to get good flow out of it. Very disappointed but they were a good price 
1, Very disappointed when I received my package. Missing one pacifier and every bottle had black scratches on them as if they have been used. 
2, Not easy to use the lid is easy to sink in not easy to suck! 
2, It is a great bottle as long as you don't drop them. They would fall off the counter at daycare and 3 bottles were broken so we had to switch. The thick tritan plastic easily shatters. I witnessed it firsthand at home. Other than that great bottle but not for daycare. 
2, These bottles are junk!!! We have owned 12 of these bottles and are now down to 3 in under a year. And don’t worry if one breaks the manufacturer won’t refund or replace their pathetically manufactured bottles. Made in Germany not China and that’s why they get 2 stars. 
